[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
3.03000000e+002, 1.56591492e+003
3.04000000e+002, 1.56423682e+003
3.05000000e+002, 1.56243323e+003
3.06000000e+002, 1.56056702e+003
3.07000000e+002, 1.55875610e+003
3.08000000e+002, 1.55707861e+003
3.09000000e+002, 1.55555493e+003
3.10000000e+002, 1.55417383e+003
3.11000000e+002, 1.55290710e+003
3.12000000e+002, 1.55173962e+003
3.13000000e+002, 1.55081689e+003
3.14000000e+002, 1.54981885e+003
3.15000000e+002, 1.54909241e+003
3.16000000e+002, 1.54859692e+003
3.17000000e+002, 1.54815100e+003
3.18000000e+002, 1.54768591e+003
3.19000000e+002, 1.54718921e+003
3.20000000e+002, 1.54664111e+003
3.21000000e+002, 1.54599084e+003
3.22000000e+002, 1.54518750e+003
3.23000000e+002, 1.54420996e+003
3.24000000e+002, 1.54304590e+003
3.25000000e+002, 1.54175146e+003
3.26000000e+002, 1.54039063e+003
3.27000000e+002, 1.53900098e+003
3.28000000e+002, 1.53760950e+003
3.29000000e+002, 1.53624194e+003
3.30000000e+002, 1.53490918e+003
3.31000000e+002, 1.53361060e+003
3.32000000e+002, 1.53234570e+003
3.33000000e+002, 1.53111621e+003
3.34000000e+002, 1.52992810e+003
3.35000000e+002, 1.52877979e+003
3.36000000e+002, 1.52766736e+003
3.37000000e+002, 1.52657947e+003
3.38000000e+002, 1.52549182e+003
3.39000000e+002, 1.52436304e+003
3.40000000e+002, 1.52313367e+003
3.41000000e+002, 1.52177710e+003
3.42000000e+002, 1.52031885e+003
3.43000000e+002, 1.51885046e+003
3.44000000e+002, 1.51743213e+003
3.45000000e+002, 1.51608521e+003
3.46000000e+002, 1.51477075e+003
3.47000000e+002, 1.51352258e+003
3.48000000e+002, 1.51230249e+003
3.49000000e+002, 1.51108496e+003
3.50000000e+002, 1.50989099e+003
3.51000000e+002, 1.50870972e+003
3.52000000e+002, 1.50752393e+003
3.53000000e+002, 1.50630298e+003
3.54000000e+002, 1.50508594e+003
3.55000000e+002, 1.50390479e+003
3.56000000e+002, 1.50277869e+003
3.57000000e+002, 1.50168811e+003
3.58000000e+002, 1.50048621e+003
3.59000000e+002, 1.49917236e+003
3.60000000e+002, 1.49782556e+003
3.61000000e+002, 1.49650696e+003
3.62000000e+002, 1.49524805e+003
3.63000000e+002, 1.49404236e+003
3.64000000e+002, 1.49289087e+003
3.65000000e+002, 1.49178442e+003
3.66000000e+002, 1.49069714e+003
3.67000000e+002, 1.48955627e+003
3.68000000e+002, 1.48835986e+003
3.69000000e+002, 1.48683118e+003
3.70000000e+002, 1.48522046e+003
3.71000000e+002, 1.48361792e+003
3.72000000e+002, 1.48208716e+003
3.73000000e+002, 1.48064612e+003
3.74000000e+002, 1.47929993e+003
3.75000000e+002, 1.47803589e+003
3.76000000e+002, 1.47666199e+003
3.77000000e+002, 1.47518372e+003
3.78000000e+002, 1.47357361e+003
3.79000000e+002, 1.47193848e+003
3.80000000e+002, 1.47038123e+003
3.81000000e+002, 1.46892346e+003
3.82000000e+002, 1.46755823e+003
3.83000000e+002, 1.46616736e+003
3.84000000e+002, 1.46468237e+003
3.85000000e+002, 1.46302722e+003
3.86000000e+002, 1.46109729e+003
3.87000000e+002, 1.45909924e+003
3.88000000e+002, 1.45713074e+003
3.89000000e+002, 1.45522571e+003
3.90000000e+002, 1.45343311e+003
3.91000000e+002, 1.45171155e+003
3.92000000e+002, 1.44996997e+003
3.93000000e+002, 1.44830811e+003
3.94000000e+002, 1.44641370e+003
3.95000000e+002, 1.44440637e+003
3.96000000e+002, 1.44247083e+003
3.97000000e+002, 1.44068115e+003
3.98000000e+002, 1.43901782e+003
3.99000000e+002, 1.43743689e+003
4.00000000e+002, 1.43586108e+003
4.01000000e+002, 1.43415918e+003
4.02000000e+002, 1.43240039e+003
4.03000000e+002, 1.43045386e+003
4.04000000e+002, 1.42838086e+003
4.05000000e+002, 1.42630127e+003
4.06000000e+002, 1.42429517e+003
4.07000000e+002, 1.42240161e+003
4.08000000e+002, 1.42058826e+003
4.09000000e+002, 1.41882251e+003
4.10000000e+002, 1.41711707e+003
4.11000000e+002, 1.41548950e+003
4.12000000e+002, 1.41387329e+003
4.13000000e+002, 1.41157996e+003
4.14000000e+002, 1.40900806e+003
4.15000000e+002, 1.40693359e+003
4.16000000e+002, 1.40407532e+003
4.17000000e+002, 1.40142883e+003
4.18000000e+002, 1.39927490e+003
4.19000000e+002, 1.39731445e+003
4.20000000e+002, 1.39546692e+003
4.21000000e+002, 1.39371338e+003
4.22000000e+002, 1.39204602e+003
4.23000000e+002, 1.39045435e+003
4.24000000e+002, 1.38891663e+003
4.25000000e+002, 1.38741187e+003
4.26000000e+002, 1.38592188e+003
4.27000000e+002, 1.38444116e+003
4.28000000e+002, 1.38297107e+003
4.29000000e+002, 1.38152979e+003
4.30000000e+002, 1.38012793e+003
4.31000000e+002, 1.37877576e+003
4.32000000e+002, 1.37747925e+003
4.33000000e+002, 1.37623840e+003
