[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
2.48000000e+002, 2.33067480e+003
2.49000000e+002, 2.32795557e+003
2.50000000e+002, 2.32518286e+003
2.51000000e+002, 2.32241479e+003
2.52000000e+002, 2.31904004e+003
2.53000000e+002, 2.31463599e+003
2.54000000e+002, 2.30960840e+003
2.55000000e+002, 2.30526172e+003
2.56000000e+002, 2.30161841e+003
2.57000000e+002, 2.29849390e+003
2.58000000e+002, 2.29550293e+003
2.59000000e+002, 2.29225366e+003
2.60000000e+002, 2.28902612e+003
2.61000000e+002, 2.28552393e+003
2.62000000e+002, 2.28220190e+003
2.63000000e+002, 2.27923608e+003
2.64000000e+002, 2.27658691e+003
2.65000000e+002, 2.27420264e+003
2.66000000e+002, 2.27189648e+003
2.67000000e+002, 2.26960913e+003
2.68000000e+002, 2.26730200e+003
2.69000000e+002, 2.26490820e+003
2.70000000e+002, 2.26250366e+003
2.71000000e+002, 2.26015576e+003
2.72000000e+002, 2.25792065e+003
2.73000000e+002, 2.25582935e+003
2.74000000e+002, 2.25385864e+003
2.75000000e+002, 2.25194482e+003
2.76000000e+002, 2.25004883e+003
2.77000000e+002, 2.24811157e+003
2.78000000e+002, 2.24615649e+003
2.79000000e+002, 2.24418091e+003
2.80000000e+002, 2.24215869e+003
2.81000000e+002, 2.24008228e+003
2.82000000e+002, 2.23796631e+003
2.83000000e+002, 2.23585107e+003
2.84000000e+002, 2.23374243e+003
2.85000000e+002, 2.23163623e+003
2.86000000e+002, 2.22956250e+003
2.87000000e+002, 2.22752637e+003
2.88000000e+002, 2.22551270e+003
2.89000000e+002, 2.22347827e+003
2.90000000e+002, 2.22141895e+003
2.91000000e+002, 2.21926343e+003
2.92000000e+002, 2.21707983e+003
2.93000000e+002, 2.21486060e+003
2.94000000e+002, 2.21255469e+003
2.95000000e+002, 2.21015552e+003
2.96000000e+002, 2.20763696e+003
2.97000000e+002, 2.20507520e+003
2.98000000e+002, 2.20247412e+003
2.99000000e+002, 2.19991772e+003
3.00000000e+002, 2.19750903e+003
3.01000000e+002, 2.19525366e+003
3.02000000e+002, 2.19309204e+003
3.03000000e+002, 2.19098340e+003
3.04000000e+002, 2.18889063e+003
3.05000000e+002, 2.18676343e+003
3.06000000e+002, 2.18462061e+003
3.07000000e+002, 2.18254419e+003
3.08000000e+002, 2.18051782e+003
3.09000000e+002, 2.17851855e+003
3.10000000e+002, 2.17652612e+003
3.11000000e+002, 2.17456885e+003
3.12000000e+002, 2.17264258e+003
3.13000000e+002, 2.17075317e+003
3.14000000e+002, 2.16892139e+003
3.15000000e+002, 2.16711523e+003
3.16000000e+002, 2.16531323e+003
3.17000000e+002, 2.16351611e+003
3.18000000e+002, 2.16169238e+003
3.19000000e+002, 2.15983643e+003
3.20000000e+002, 2.15796069e+003
3.21000000e+002, 2.15604224e+003
3.22000000e+002, 2.15410669e+003
3.23000000e+002, 2.15216895e+003
3.24000000e+002, 2.15023633e+003
3.25000000e+002, 2.14832324e+003
3.26000000e+002, 2.14644849e+003
3.27000000e+002, 2.14458569e+003
3.28000000e+002, 2.14268848e+003
3.29000000e+002, 2.14076880e+003
3.30000000e+002, 2.13892236e+003
3.31000000e+002, 2.13714917e+003
3.32000000e+002, 2.13543481e+003
3.33000000e+002, 2.13376196e+003
3.34000000e+002, 2.13208887e+003
3.35000000e+002, 2.13042651e+003
3.36000000e+002, 2.12879663e+003
3.37000000e+002, 2.12717432e+003
3.38000000e+002, 2.12556812e+003
3.39000000e+002, 2.12397070e+003
3.40000000e+002, 2.12238330e+003
3.41000000e+002, 2.12079004e+003
3.42000000e+002, 2.11905054e+003
3.43000000e+002, 2.11714746e+003
3.44000000e+002, 2.11521729e+003
3.45000000e+002, 2.11334009e+003
3.46000000e+002, 2.11153687e+003
3.47000000e+002, 2.10980786e+003
3.48000000e+002, 2.10812036e+003
3.49000000e+002, 2.10643970e+003
3.50000000e+002, 2.10477271e+003
3.51000000e+002, 2.10312012e+003
3.52000000e+002, 2.10147632e+003
3.53000000e+002, 2.09976929e+003
3.54000000e+002, 2.09792676e+003
3.55000000e+002, 2.09587817e+003
3.56000000e+002, 2.09368774e+003
3.57000000e+002, 2.09151440e+003
3.58000000e+002, 2.08942456e+003
3.59000000e+002, 2.08743311e+003
3.60000000e+002, 2.08552271e+003
3.61000000e+002, 2.08368994e+003
3.62000000e+002, 2.08189819e+003
3.63000000e+002, 2.08008643e+003
3.64000000e+002, 2.07810010e+003
3.65000000e+002, 2.07602393e+003
3.66000000e+002, 2.07399756e+003
3.67000000e+002, 2.07209351e+003
3.68000000e+002, 2.07033325e+003
3.69000000e+002, 2.06870776e+003
3.70000000e+002, 2.06716748e+003
3.71000000e+002, 2.06571118e+003
3.72000000e+002, 2.06428174e+003
3.73000000e+002, 2.06280664e+003
3.74000000e+002, 2.06130127e+003
3.75000000e+002, 2.05978418e+003
3.76000000e+002, 2.05828027e+003
3.77000000e+002, 2.05681030e+003
3.78000000e+002, 2.05539941e+003
3.79000000e+002, 2.05404590e+003
3.80000000e+002, 2.05272046e+003
3.81000000e+002, 2.05139185e+003
3.82000000e+002, 2.05006494e+003
3.83000000e+002, 2.04875244e+003
3.84000000e+002, 2.04747095e+003
3.85000000e+002, 2.04622424e+003
3.86000000e+002, 2.04500305e+003
3.87000000e+002, 2.04380420e+003
3.88000000e+002, 2.04262219e+003
3.89000000e+002, 2.04146484e+003
3.90000000e+002, 2.04036401e+003
3.91000000e+002, 2.03928442e+003
3.92000000e+002, 2.03819263e+003
3.93000000e+002, 2.03708325e+003
3.94000000e+002, 2.03595947e+003
3.95000000e+002, 2.03482458e+003
3.96000000e+002, 2.03368958e+003
3.97000000e+002, 2.03254956e+003
3.98000000e+002, 2.03140356e+003
3.99000000e+002, 2.03025452e+003
4.00000000e+002, 2.02910828e+003
4.01000000e+002, 2.02794421e+003
4.02000000e+002, 2.02675452e+003
4.03000000e+002, 2.02557654e+003
4.04000000e+002, 2.02441296e+003
4.05000000e+002, 2.02326062e+003
4.06000000e+002, 2.02211035e+003
4.07000000e+002, 2.02095300e+003
4.08000000e+002, 2.01976208e+003
4.09000000e+002, 2.01857495e+003
4.10000000e+002, 2.01739722e+003
4.11000000e+002, 2.01622705e+003
4.12000000e+002, 2.01505054e+003
4.13000000e+002, 2.01387048e+003
4.14000000e+002, 2.01269153e+003
4.15000000e+002, 2.01150964e+003
4.16000000e+002, 2.01032373e+003
4.17000000e+002, 2.00913818e+003
4.18000000e+002, 2.00795117e+003
4.19000000e+002, 2.00675696e+003
4.20000000e+002, 2.00555798e+003
4.21000000e+002, 2.00436060e+003
4.22000000e+002, 2.00316650e+003
4.23000000e+002, 2.00197839e+003
4.24000000e+002, 2.00079895e+003
4.25000000e+002, 1.99962512e+003
4.26000000e+002, 1.99844897e+003
4.27000000e+002, 1.99727502e+003
4.28000000e+002, 1.99610059e+003
4.29000000e+002, 1.99492981e+003
4.30000000e+002, 1.99376245e+003
4.31000000e+002, 1.99260413e+003
4.32000000e+002, 1.99145850e+003
4.33000000e+002, 1.99032837e+003
4.34000000e+002, 1.98920667e+003
4.35000000e+002, 1.98809998e+003
4.36000000e+002, 1.98696936e+003
4.37000000e+002, 1.98580383e+003
4.38000000e+002, 1.98461951e+003
4.39000000e+002, 1.98342761e+003
4.40000000e+002, 1.98222900e+003
4.41000000e+002, 1.98098828e+003
4.42000000e+002, 1.97969861e+003
4.43000000e+002, 1.97832788e+003
4.44000000e+002, 1.97686096e+003
4.45000000e+002, 1.97537195e+003
4.46000000e+002, 1.97391663e+003
4.47000000e+002, 1.97251013e+003
4.48000000e+002, 1.97115222e+003
4.49000000e+002, 1.96979980e+003
4.50000000e+002, 1.96843091e+003
4.51000000e+002, 1.96705676e+003
4.52000000e+002, 1.96568970e+003
4.53000000e+002, 1.96433057e+003
4.54000000e+002, 1.96298157e+003
4.55000000e+002, 1.96163708e+003
4.56000000e+002, 1.96028467e+003
4.57000000e+002, 1.95891833e+003
4.58000000e+002, 1.95754187e+003
4.59000000e+002, 1.95616565e+003
4.60000000e+002, 1.95480383e+003
4.61000000e+002, 1.95346619e+003
4.62000000e+002, 1.95215271e+003
4.63000000e+002, 1.95085449e+003
4.64000000e+002, 1.94956848e+003
4.65000000e+002, 1.94829407e+003
4.66000000e+002, 1.94702747e+003
4.67000000e+002, 1.94577002e+003
4.68000000e+002, 1.94452148e+003
4.69000000e+002, 1.94328516e+003
4.70000000e+002, 1.94206689e+003
4.71000000e+002, 1.94086755e+003
4.72000000e+002, 1.93969092e+003
4.73000000e+002, 1.93853406e+003
4.74000000e+002, 1.93738708e+003
4.75000000e+002, 1.93624170e+003
4.76000000e+002, 1.93509485e+003
4.77000000e+002, 1.93392542e+003
4.78000000e+002, 1.93273633e+003
4.79000000e+002, 1.93152100e+003
4.80000000e+002, 1.93032056e+003
4.81000000e+002, 1.92914636e+003
4.82000000e+002, 1.92799512e+003
4.83000000e+002, 1.92686597e+003
4.84000000e+002, 1.92575696e+003
4.85000000e+002, 1.92466296e+003
4.86000000e+002, 1.92357751e+003
4.87000000e+002, 1.92249451e+003
4.88000000e+002, 1.92140137e+003
4.89000000e+002, 1.92026404e+003
4.90000000e+002, 1.91911340e+003
4.91000000e+002, 1.91794910e+003
4.92000000e+002, 1.91674609e+003
4.93000000e+002, 1.91555981e+003
4.94000000e+002, 1.91438513e+003
4.95000000e+002, 1.91315308e+003
4.96000000e+002, 1.91193030e+003
4.97000000e+002, 1.91071655e+003
4.98000000e+002, 1.90951245e+003
4.99000000e+002, 1.90829407e+003
5.00000000e+002, 1.90710852e+003
5.10000000e+002, 1.89607947e+003
5.20000000e+002, 1.88468408e+003
5.30000000e+002, 1.87322949e+003
5.40000000e+002, 1.86153564e+003
5.50000000e+002, 1.85002429e+003
5.60000000e+002, 1.83886499e+003
5.70000000e+002, 1.82786121e+003
5.80000000e+002, 1.82786035e+003
5.90000000e+002, 1.81099109e+003
6.00000000e+002, 1.80256592e+003
6.10000000e+002, 1.80255884e+003
6.20000000e+002, 1.78913757e+003
6.30000000e+002, 1.78093457e+003
6.40000000e+002, 1.77175916e+003
6.50000000e+002, 1.76180127e+003
6.60000000e+002, 1.75193469e+003
6.70000000e+002, 1.74241394e+003
6.80000000e+002, 1.73316309e+003
6.90000000e+002, 1.72411609e+003
7.00000000e+002, 1.71529968e+003
7.10000000e+002, 1.71529980e+003
7.20000000e+002, 1.70179138e+003
7.30000000e+002, 1.69436719e+003
7.40000000e+002, 1.68680237e+003
7.50000000e+002, 1.67898584e+003
7.60000000e+002, 1.67100867e+003
7.70000000e+002, 1.66303650e+003
7.80000000e+002, 1.65516187e+003
7.90000000e+002, 1.64728223e+003
8.00000000e+002, 1.63919958e+003
8.10000000e+002, 1.63088843e+003
8.20000000e+002, 1.62229077e+003
8.30000000e+002, 1.61334448e+003
8.40000000e+002, 1.60410449e+003
8.50000000e+002, 1.60410474e+003
8.60000000e+002, 1.58842139e+003
8.70000000e+002, 1.57979456e+003
8.80000000e+002, 1.57979797e+003
8.90000000e+002, 1.56487622e+003
9.00000000e+002, 1.55742603e+003
9.10000000e+002, 1.55742603e+003
9.20000000e+002, 1.54515955e+003
9.30000000e+002, 1.53844006e+003
9.40000000e+002, 1.53178296e+003
9.50000000e+002, 1.52512219e+003
9.60000000e+002, 1.51851135e+003
9.70000000e+002, 1.51194946e+003
9.80000000e+002, 1.50539246e+003
9.90000000e+002, 1.49881372e+003
1.00000000e+003, 1.49220837e+003
1.01000000e+003, 1.48556604e+003
1.02000000e+003, 1.47880249e+003
1.03000000e+003, 1.47185498e+003
1.04000000e+003, 1.46459167e+003
1.05000000e+003, 1.45700720e+003
1.06000000e+003, 1.44914600e+003
1.07000000e+003, 1.44113879e+003
1.08000000e+003, 1.43297729e+003
1.09000000e+003, 1.42466089e+003
1.10000000e+003, 1.41622595e+003
1.11000000e+003, 1.40771936e+003
1.12000000e+003, 1.39917273e+003
1.13000000e+003, 1.39062793e+003
1.14000000e+003, 1.38213989e+003
1.15000000e+003, 1.37388818e+003
1.16000000e+003, 1.36559839e+003
1.17000000e+003, 1.35734692e+003
1.18000000e+003, 1.34911853e+003
1.19000000e+003, 1.34087427e+003
1.20000000e+003, 1.33254309e+003
1.21000000e+003, 1.32412622e+003
1.22000000e+003, 1.31548608e+003
1.23000000e+003, 1.30651770e+003
1.24000000e+003, 1.29727991e+003
1.25000000e+003, 1.28780334e+003
1.26000000e+003, 1.27818262e+003
1.27000000e+003, 1.26848328e+003
1.28000000e+003, 1.25873779e+003
1.29000000e+003, 1.24899231e+003
1.30000000e+003, 1.23919287e+003
1.31000000e+003, 1.22934753e+003
1.32000000e+003, 1.21944238e+003
1.33000000e+003, 1.20950098e+003
1.34000000e+003, 1.19950659e+003
1.35000000e+003, 1.18943274e+003
1.36000000e+003, 1.17922546e+003
1.37000000e+003, 1.16883630e+003
1.38000000e+003, 1.15824194e+003
1.39000000e+003, 1.14745862e+003
1.40000000e+003, 1.14745850e+003
1.41000000e+003, 1.12658167e+003
1.42000000e+003, 1.12658118e+003
1.43000000e+003, 1.10581555e+003
1.44000000e+003, 1.10581555e+003
